시도교육청코드,시도교육청명,행정표준코드,학교명,식사코드,식사명,급식일자,급식인원수,요리명,원산지정보,칼로리정보,영양정보,수정일자
B10,서울특별시교육청,7010271,경기기계공업고등학교,3,석식,20251105,160,크림스프 (2.5.6.13.16)<br/>부쉬맨브래드 (1.2.5.13)<br/>투움바파스타 (1.2.5.6.9.10.12.13.16)<br/>목살스테이크 (2.5.6.10.12.13.16)<br/>*라이브(망고+청포도+스위티자몽) (2.13)<br/>모듬피클 <br/>양상추샐러드 (1.2.4.5.6.11.12),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,1759.3 Kcal,탄수화물(g) : 187.8<br/>단백질(g) : 81.8<br/>지방(g) : 71.2<br/>비타민A(R.E) : 188.8<br/>티아민(mg) : 3.8<br/>리보플라빈(mg) : 1.3<br/>비타민C(mg) : 107.9<br/>칼슘(mg) : 211.8<br/>철분(mg) : 6.2,20251112
B10,서울특별시교육청,7010271,경기기계공업고등학교,3,석식,20251106,160,숙채비빔밥 (5.6.10.13)<br/>얼갈이된장국 (5.6)<br/>보쌈 (5.6.10)<br/>계란후라이 (1)<br/>배추김치 (9)<br/>죠리퐁라떼 (1.2.5.6),쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 중국산<br/>명태 : 러시아<br/>고등어 : 덴마크산<br/>갈치 : 세네갈<br/>오징어 : 중국산<br/>꽃게 : 중국산<br/>참조기 : 국내산<br/>비고 : ,932.5 Kcal,탄수화물(g) : 61.9<br/>단백질(g) : 56.9<br/>지방(g) : 50.3<br/>비타민A(R.E) : 382.0<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 0.9<br/>비타민C(mg) : 24.7<br/>칼슘(mg) : 408.5<br/>철분(mg) : 3.2,20251113
B10,서울특별시교육청,7010132,광성고등학교,1,조식,20251103,56,블루베리 요거트 팬케익 (1.2.5.6)<br/>빠네스프 (2.5.6.16)<br/>후렌치후라이&케찹 (5.6.12)<br/>흰우유 (2)<br/>과일 (11.12)<br/>시리얼(첵스초코&콘푸로스트) (2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1417.4 Kcal,탄수화물(g) : 240.7<br/>단백질(g) : 25.3<br/>지방(g) : 39.9<br/>비타민A(R.E) : 2021.6<br/>티아민(mg) : 28.6<br/>리보플라빈(mg) : 2.9<br/>비타민C(mg) : 160.6<br/>칼슘(mg) : 1087.3<br/>철분(mg) : 10.8,20251110
B10,서울특별시교육청,7010132,광성고등학교,1,조식,20251104,56,쌀밥 <br/>돼지국밥 (2.5.6.9.10)<br/>소시지야채볶음 (2.5.6.10.12.13.15.16.18)<br/>얼갈이나물무침 (5.6.13)<br/>총각김치 (9)<br/>과일 (11.12)<br/>떠먹는애플망고 (1.2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1073.7 Kcal,탄수화물(g) : 146.5<br/>단백질(g) : 42.1<br/>지방(g) : 36.1<br/>비타민A(R.E) : 93.2<br/>티아민(mg) : 0.9<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 71.0<br/>칼슘(mg) : 343.6<br/>철분(mg) : 5.2,20251111
B10,서울특별시교육청,7010132,광성고등학교,1,조식,20251105,56,찹쌀밥 <br/>재첩국 (18)<br/>취나물볶음 (5.6.13)<br/>불향직화불고기 (10)<br/>배추김치 (9)<br/>과일 (11.12)<br/>초코휘낭시에 (1.2.5.6),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,745.4 Kcal,탄수화물(g) : 107.3<br/>단백질(g) : 41.4<br/>지방(g) : 15.9<br/>비타민A(R.E) : 66.0<br/>티아민(mg) : 1.0<br/>리보플라빈(mg) : 0.5<br/>비타민C(mg) : 24.8<br/>칼슘(mg) : 91.6<br/>철분(mg) : 3.3,20251112
B10,서울특별시교육청,7010132,광성고등학교,1,조식,20251106,56,찹쌀밥 <br/>순살닭곰탕 (15)<br/>메추리알장조림 (1.5.6.13.15)<br/>무생채 (13)<br/>배추김치 (9)<br/>과일 (11.12),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,545.7 Kcal,탄수화물(g) : 88.5<br/>단백질(g) : 27.5<br/>지방(g) : 7.5<br/>비타민A(R.E) : 208.3<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 15.9<br/>칼슘(mg) : 82.0<br/>철분(mg) : 2.4,20251113
B10,서울특별시교육청,7010132,광성고등학교,1,조식,20251107,56,쌀밥 <br/>꽃게된장국 (5.6.8)<br/>망고샐러드 (1.2.5.6)<br/>치킨텐더스틱 (1.5.6.15)<br/>열무김치 (9)<br/>과일모찌떡 (4.5)<br/>머스타드 (1.5.6.13),쇠고기(종류) : 국내산(한우)<br/>쇠고기 식육가공품 : 국내산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 : 국내산<br/>낙지 : 국내산<br/>고등어 : 국내산<br/>갈치 : 국내산<br/>오징어 : 국내산<br/>꽃게 : 국내산<br/>참조기 : 국내산<br/>비고 : ,1479.6 Kcal,탄수화물(g) : 122.8<br/>단백질(g) : 32.3<br/>지방(g) : 93.1<br/>비타민A(R.E) : 115.1<br/>티아민(mg) : 0.4<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 12.0<br/>칼슘(mg) : 206.4<br/>철분(mg) : 3.7,20251114
B10,서울특별시교육청,7010132,광성고등학교,2,중식,20251103,802,채소볶음밥 (5.6.13.18)<br/>미역국 (5.6)<br/>고구마치즈롤까스 (1.2.5.6.10)<br/>깍두기 (9)<br/>돈가스소스(완) (5.6.12.13.18)<br/>시저샐러드 (1.2.4.5.6.10.13)<br/>팥찹쌀떡 <br/>감귤주스 (13),"쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 호주산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>낙지 수산가공품 : 중국산<br/>명태 수산가공품 : 러시아<br/>고등어 : 국내산<br/>고등어 수산가공품 : 노르웨이<br/>갈치 수산가공품 : 세내갈,모로코<br/>오징어 : 국내산 또는 원양산<br/>오징어 수산가공품 : 수입산<br/>꽃게 수산가공품 : 국내산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남<br/>주꾸미 수산가공품 : 베트남<br/>전복 : 국내산<br/>전복 수산가공품 : 수입산<br/>방어 수산가공품 : 국내산",788.1 Kcal,탄수화물(g) : 128.0<br/>단백질(g) : 26.0<br/>지방(g) : 19.9<br/>비타민A(R.E) : 121.8<br/>티아민(mg) : 0.7<br/>리보플라빈(mg) : 0.6<br/>비타민C(mg) : 29.4<br/>칼슘(mg) : 218.3<br/>철분(mg) : 2.6,20251110
B10,서울특별시교육청,7010132,광성고등학교,2,중식,20251104,775,현미밥 <br/>추어탕 (5.6)<br/>시금치나물 (5.6)<br/>콩나물데침고명 (5)<br/>돼지고기고추장볶음 (5.6.10.13.18)<br/>부추쪽파김치 (9.13)<br/>무쌈 ,"쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 호주산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>낙지 수산가공품 : 중국산<br/>명태 수산가공품 : 러시아<br/>고등어 : 국내산<br/>고등어 수산가공품 : 노르웨이<br/>갈치 수산가공품 : 세내갈,모로코<br/>오징어 : 국내산 또는 원양산<br/>오징어 수산가공품 : 수입산<br/>꽃게 수산가공품 : 국내산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남<br/>주꾸미 수산가공품 : 베트남<br/>전복 : 국내산<br/>전복 수산가공품 : 수입산<br/>방어 수산가공품 : 국내산",863.8 Kcal,탄수화물(g) : 110.3<br/>단백질(g) : 53.4<br/>지방(g) : 21.7<br/>비타민A(R.E) : 378.5<br/>티아민(mg) : 1.3<br/>리보플라빈(mg) : 1.0<br/>비타민C(mg) : 29.0<br/>칼슘(mg) : 547.7<br/>철분(mg) : 8.2,20251111
B10,서울특별시교육청,7010132,광성고등학교,2,중식,20251105,784,햄마요덮밥 (1.2.5.6.10.13.15.16)<br/>매콤국물파스타 (1.5.6.8.9.12.13.16.17.18)<br/>깍두기 (9)<br/>생크림망고딸기샐러드 (2.13)<br/>마카로니샐러드. (1.5.6.13),"쇠고기(종류) : 국내산(육우)<br/>쇠고기 식육가공품 : 호주산<br/>돼지고기 : 국내산<br/>돼지고기 식육가공품 : 국내산<br/>닭고기 : 국내산<br/>닭고기 식육가공품 : 국내산<br/>오리고기 : 국내산<br/>오리고기 가공품 : 국내산<br/>쌀 : 국내산<br/>배추 : 국내산<br/>고춧가루 : 국내산<br/>콩 가공품 : 수입산<br/>낙지 : 중국산<br/>낙지 수산가공품 : 중국산<br/>명태 수산가공품 : 러시아<br/>고등어 : 국내산<br/>고등어 수산가공품 : 노르웨이<br/>갈치 수산가공품 : 세내갈,모로코<br/>오징어 : 국내산 또는 원양산<br/>오징어 수산가공품 : 수입산<br/>꽃게 수산가공품 : 국내산<br/>아귀 : 국내산<br/>아귀 수산가공품 : 국내산<br/>주꾸미 : 베트남<br/>주꾸미 수산가공품 : 베트남<br/>전복 : 국내산<br/>전복 수산가공품 : 수입산<br/>방어 수산가공품 : 국내산",1121.1 Kcal,탄수화물(g) : 137.4<br/>단백질(g) : 34.1<br/>지방(g) : 47.5<br/>비타민A(R.E) : 111.5<br/>티아민(mg) : 0.5<br/>리보플라빈(mg) : 0.3<br/>비타민C(mg) : 59.7<br/>칼슘(mg) : 94.7<br/>철분(mg) : 2.9,20251112
