"성별(1)","특성별(1)",특성별(2),1998,1998,1998,2001,2001,2001,2005,2005,2005,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
"성별(1)","특성별(1)",특성별(2),응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차,응답자수 (명),분율 (%),표준오차
"전체","연령별1",50-59세,1104,6.2,0.8,979,10.2,1.3,1015,11.4,1.3,484,10.5,1.8,1051,12.0,1.3,1149,12.6,1.3,1107,12.6,1.5,1141,11.5,1.3,1033,13.5,1.6,1001,14.7,1.4,994,15.2,1.4,1081,14.7,1.4,937,18.5,1.6,1116,14.7,1.4,1055,19.0,1.5,1061,21.1,1.4,861,24.9,1.8,909,20.3,1.6,865,24.1,1.7,1090,24.1,1.5
"전체","연령별1",60-69세,942,3.4,0.7,788,4.2,0.8,847,5.7,1.1,470,6.9,1.7,1024,5.5,0.9,1163,5.7,0.9,999,4.4,0.8,993,6.8,1.2,1011,5.5,0.8,874,7.2,1.1,926,7.9,1.0,960,7.3,1.0,919,9.6,1.2,1036,9.3,1.2,997,9.8,1.1,1043,7.9,1.1,892,13.5,1.6,981,10.7,1.3,1062,10.6,1.3,1311,12.1,0.9
"전체","연령별1",70세이상,578,3.7,0.9,549,4.9,1.1,594,2.1,0.8,449,6.1,1.3,925,4.8,0.8,1046,4.7,0.8,895,3.7,0.8,1028,4.8,1.1,1103,3.5,0.7,873,5.9,1.0,1028,4.3,0.8,982,5.4,0.9,974,6.4,1.0,1043,4.1,0.7,1057,4.5,0.8,1108,5.4,0.9,987,4.7,0.9,1140,5.6,1.0,1032,4.9,0.9,1155,4.7,0.8
"전체","연령별2",1-2세,288,5.2,1.5,249,3.6,1.1,217,11.0,2.4,119,9.3,2.9,245,6.8,1.9,272,12.2,2.6,243,5.8,1.7,235,7.4,2.0,190,6.6,2.8,194,10.5,2.7,188,8.2,2.3,137,8.6,3.0,197,6.7,1.9,157,5.8,2.1,172,5.5,2.1,122,3.6,1.9,95,8.4,3.0,73,6.9,3.1,70,2.0,1.5,87,6.6,2.7
"전체","연령별2",3-5세,524,5.0,1.1,500,7.5,1.2,403,7.4,1.7,190,11.1,3.6,400,9.4,1.6,382,7.2,1.6,351,5.6,1.5,304,9.5,2.8,282,14.6,3.3,313,8.4,1.8,282,9.7,2.0,209,6.0,1.7,331,7.1,1.7,278,6.9,1.6,246,8.1,2.0,235,10.2,2.4,179,12.1,3.8,154,9.1,3.0,127,7.9,3.1,129,7.1,2.1
"전체","연령별2",6-11세,953,7.1,1.1,1113,11.5,1.1,889,11.3,1.4,473,13.4,2.3,954,11.1,1.4,881,9.7,1.2,779,10.8,1.6,647,9.9,1.4,559,12.4,2.2,640,11.4,1.5,508,11.5,1.8,448,14.9,2.2,566,10.0,1.5,547,11.9,1.7,511,15.0,2.1,555,12.0,1.8,381,17.7,2.6,383,18.0,2.6,376,14.2,2.4,403,16.6,2.6
"전체","연령별2",12-18세,1134,17.9,1.2,1014,25.0,1.8,895,23.8,1.6,370,30.3,3.7,758,27.0,2.2,882,29.1,1.9,702,29.0,2.8,634,30.3,2.1,611,29.5,2.6,654,33.1,2.1,501,31.0,2.5,528,32.6,2.4,516,34.6,2.6,464,35.4,2.8,432,37.4,2.8,463,39.5,2.8,349,46.2,2.9,357,34.5,3.3,308,37.7,3.8,386,45.5,3.1
"전체","연령별2",19-29세,1550,22.4,1.7,1370,39.3,1.7,1045,41.4,2.1,331,43.4,2.6,763,48.7,2.6,946,42.4,1.9,692,41.3,2.4,643,37.2,2.2,582,43.3,2.6,670,40.1,2.3,567,41.0,2.4,661,49.1,2.5,623,52.6,2.4,653,52.0,2.4,682,50.1,2.4,669,54.0,2.2,624,58.2,2.5,584,53.0,2.3,570,59.2,2.5,600,57.2,2.2
"전체","연령별2",30-49세,3327,9.9,0.7,3406,18.8,0.9,3025,20.6,0.9,1205,24.0,1.7,2511,22.9,1.1,2670,22.0,1.0,2251,24.8,1.2,2079,24.5,1.2,1837,25.8,1.2,2023,27.7,1.2,1807,28.1,1.3,1622,29.1,1.4,1977,29.2,1.5,1873,31.6,1.5,1912,33.3,1.3,1891,37.9,1.5,1440,39.1,1.8,1359,39.1,1.5,1420,41.9,1.6,1625,41.3,1.7
"전체","연령별2",50-64세,1650,5.4,0.7,1400,8.5,1.0,1452,9.8,0.9,692,9.3,1.5,1542,10.6,1.0,1736,10.9,1.0,1613,10.8,1.2,1674,10.8,1.1,1562,11.5,1.3,1450,13.2,1.2,1435,13.5,1.2,1566,12.9,1.1,1396,16.3,1.2,1650,13.4,1.2,1617,16.7,1.2,1630,17.5,1.1,1355,21.8,1.4,1405,17.9,1.4,1408,20.4,1.3,1758,20.8,1.1
"전체","연령별2",65세이상,974,3.4,0.7,916,4.4,0.8,1004,3.6,0.8,711,6.9,1.3,1458,4.7,0.7,1622,5.1,0.7,1388,3.5,0.6,1488,4.6,0.9,1585,4.3,0.7,1298,5.9,0.9,1513,5.4,0.8,1457,5.9,0.8,1434,7.3,0.9,1545,5.5,0.7,1492,5.7,0.8,1582,5.7,0.8,1385,7.0,1.2,1625,6.3,0.7,1551,6.4,0.9,1798,6.3,0.7
"전체","거주지역별",동,6597,11.7,0.7,7873,18.8,0.7,7191,21.0,0.9,2946,23.9,1.2,6536,23.0,1.0,7137,22.0,0.8,6343,22.8,0.9,6242,21.7,0.8,5807,23.3,1.0,5799,23.5,0.8,5463,23.8,0.9,5375,25.0,1.0,5682,25.5,0.9,5867,25.5,1.0,5822,27.2,0.9,5769,29.1,1.0,4721,31.6,1.1,4607,29.8,0.9,4542,30.9,1.0,5454,31.3,0.9
"전체","거주지역별",읍면,3803,9.0,0.8,2095,13.7,1.5,1739,13.9,1.2,1145,16.0,1.8,2095,16.8,1.3,2254,15.2,1.5,1676,14.3,1.8,1462,15.0,1.6,1401,16.2,2.2,1443,18.5,1.6,1338,15.8,1.4,1253,19.4,1.7,1358,24.0,2.2,1300,21.4,3.3,1242,20.1,1.9,1378,22.6,2.4,1087,26.8,2.7,1333,18.1,2.0,1288,24.1,2.5,1332,22.6,2.1
"전체","소득수준별",하,2037,12.4,1.0,1689,16.9,1.2,1870,22.5,1.6,769,26.6,2.4,1669,24.8,2.0,1859,24.9,1.5,1568,23.5,1.6,1517,21.0,1.7,1396,26.2,2.1,1410,26.5,1.8,1358,26.0,1.8,1320,29.2,1.9,1412,30.6,1.8,1435,27.8,1.8,1411,26.5,1.7,1422,30.3,1.9,1165,33.7,2.2,1182,30.7,2.0,1173,30.8,1.9,1341,33.3,1.9
"전체","소득수준별",중하,2009,11.9,1.1,1896,18.6,1.3,1790,22.2,1.6,766,20.5,2.2,1676,23.1,1.5,1863,21.5,1.4,1604,20.1,1.5,1550,22.6,1.7,1441,22.2,1.7,1450,24.7,1.7,1348,25.0,1.8,1333,23.5,1.5,1383,24.9,1.7,1453,26.9,1.8,1415,27.5,1.7,1403,30.3,1.8,1161,30.9,2.1,1200,29.1,1.9,1181,31.1,1.8,1365,31.3,1.6
"전체","소득수준별",중,2172,10.6,1.0,1898,18.8,1.2,1732,18.5,1.3,794,23.3,2.0,1680,21.9,1.5,1861,20.3,1.3,1623,22.0,1.7,1527,20.7,1.4,1403,20.1,1.5,1468,22.6,1.5,1340,22.9,1.4,1296,23.4,1.8,1395,26.5,1.6,1437,23.5,1.6,1401,28.9,1.9,1454,29.2,1.8,1166,31.2,2.3,1206,27.4,1.8,1187,30.6,1.8,1358,30.2,1.6
"전체","소득수준별",중상,2114,9.9,1.0,1778,16.9,1.1,1736,18.1,1.3,769,21.7,2.1,1691,20.3,1.5,1872,19.3,1.4,1558,19.6,1.7,1517,18.2,1.6,1435,20.9,1.7,1446,21.1,1.5,1358,20.4,1.6,1318,23.1,1.7,1405,21.9,1.7,1453,25.4,1.8,1413,25.3,1.6,1436,26.8,1.6,1116,32.2,1.8,1161,25.3,1.6,1148,29.4,1.8,1357,28.9,1.6
"전체","소득수준별",상,2068,11.2,1.0,2130,17.1,1.2,1715,16.9,1.2,781,18.4,2.1,1669,18.9,1.4,1834,17.3,1.2,1565,18.5,1.7,1508,19.6,1.7,1407,19.8,1.7,1415,17.5,1.3,1365,17.9,1.6,1323,20.7,1.7,1418,22.1,1.5,1375,21.0,1.5,1411,22.2,1.4,1405,23.4,1.8,1182,26.9,1.7,1163,27.4,2.2,1133,27.2,1.9,1344,25.4,1.5
"전체","거주지역(표준화)별",동,6597,11.3,0.7,7873,19.2,0.7,7191,20.5,0.8,2946,23.8,1.2,6536,22.8,0.9,7137,21.9,0.7,6343,22.7,0.8,6242,22.0,0.8,5807,23.9,0.9,5799,24.2,0.8,5463,24.7,0.9,5375,26.4,0.9,5682,26.9,0.8,5867,27.5,0.9,5822,29.0,0.9,5769,31.7,1.0,4721,34.6,1.2,4607,32.5,0.9,4542,33.9,1.0,5454,35.2,0.9
"전체","거주지역(표준화)별",읍면,3803,10.2,0.9,2095,17.1,1.7,1739,17.3,1.4,1145,18.2,1.7,2095,20.9,1.7,2254,19.4,1.5,1676,18.5,1.9,1462,18.8,1.9,1401,21.0,2.6,1443,22.0,1.6,1338,21.1,1.9,1253,25.5,2.1,1358,29.6,2.6,1300,28.6,3.5,1242,27.1,1.5,1378,29.2,2.2,1087,34.8,3.1,1333,26.4,2.4,1288,33.8,2.3,1332,30.5,2.8
